year,day,obituaries
2016,11-02,null
2016,11-03,null
2016,11-04,null
2016,11-05,null
2016,11-06,null
2016,11-07,null
2016,11-08,null
2016,11-09,null
2016,11-10,null
2016,11-11,null
2016,11-12,null
2016,11-13,null
2016,11-14,null
2016,11-15,null
2016,11-16,null
2016,11-17,null
2016,11-18,null
2016,11-19,null
2016,11-20,null
2016,11-21,null
2016,11-22,null
2016,11-23,null
2016,11-24,null
2016,11-25,null
2016,11-26,null
2016,11-27,null
2016,11-28,null
2016,11-29,null
2016,11-30,null
2016,12-01,null
2016,12-02,null
2016,12-03,null
2016,12-04,null
2016,12-05,null
2016,12-06,null
2016,12-07,null
2016,12-08,null
2016,12-09,null
2016,12-10,null
2016,12-11,null
2016,12-12,null
2016,12-13,null
2016,12-14,null
2016,12-15,null
2016,12-16,null
2016,12-17,null
2016,12-18,null
2016,12-19,null
2016,12-20,null
2016,12-21,null
2016,12-22,null
2016,12-23,null
2016,12-24,null
2016,12-25,null
2016,12-26,null
2016,12-27,null
2016,12-28,null
2016,12-29,null
2016,12-30,null
2016,12-31,null
